id;cnr;collection;comment;esac_key;esac_title;function;melstring;region;signature;source;text;tunefamily;unit
A0026A;;ALTDEUTSCH;;G-min;Zwei Koenigskinder;Romanze, Ballade, Lied;"1  23b1  23b1  23b4  5_
    4  3b23b  123b  2_.  ^0
    5  56b5  43b2  3b_.  2_
    2  1_1  -5-6-7  1_.  ^0 //";Europa, Mitteleuropa, Deutschland;3/4;;;A0026;4
A0026B;;ALTDEUTSCH;;G-min;Zwei Koenigskinder;;"1_  1_.23b_  2__1_  2_.3b4_  5__
    5_  4_.3b2_  3b_1__  -7b__.  ^_0_
    -7b_  2__3b_  4__3b_  1_.23b_  2__
    1_  -7b_-5__  1__-7_  1__.  ^_0_ //";Europa, Mitteleuropa, Deutschland;3/4;;;A0026;8
A0027A;;ALTDEUTSCH;;F-maj;Das Schloss in Oesterreich;Romanze, Ballade, Lied;"1_1_2_  3__4_5__3_  1__0_
    1_3_4_  5__1_1__-7-6  -7_1_-6__-5__
    0_5_5_5_  6_.56_5__4_  3__0_
    6_  5_2_3_1_  -7_1_2_3_212_  1__. //";Europa, Mitteleuropa, Deutschland;6/2 4/2;;;A0027;4
A0027B;;ALTDEUTSCH;;F-maj;Das Schloss in Oesterreich;;"1_1_2_  3__4_  5__3_  1__.
    1_3_4_  5__2_  1_.-7-6_  -5__.
    5_5_5_  6__5_  5__4_  3__.
    6_5_2_  3__1_  -7_1_2_  3_.12_  1__. //";Europa, Mitteleuropa, Deutschland;3/2;;;A0027;4
A0028;;ALTDEUTSCH;;F-maj;Das Schloss im Oberland (Falkenstein);Romanze, Ballade, Lied;"1__  1__2__3__4__  5__5__1__
    2__  3__6__5__1__  1__.-7-6-7__1__  -6__-5__0__
    5__  5__5__5__4__  4__3__2__
    6__  5__2__3__1__  -7__1__2__3__2_1_2___  1___0__ //";Europa, Mitteleuropa, Deutschland;4/2 7/2;;;A0028;8
A0029;;ALTDEUTSCH;;G-min;Herr von Falkenstein;Romanze, Ballade, Lied;"5_  5_43b225_  5_43b2_.
    4  3b_.21_1_  -7__1_
    11  2_3b3b4_2_  3b_4_5_.
    4  3b_2_1_3b_  2__1_ //";Europa, Mitteleuropa, Deutschland;4/4;;;A0029;8
A0032;;ALTDEUTSCH;;E-maj;Der gefangene Hans;Romanze, Ballade, Lied;"1_  3b_.3b3b_  3b_.3b3b_  4__3b_  4__
    4_  6b__6b_  5_4_3b_  2b__1-7b  1__
    1_  4_4_4_  4__4_  3b__1_  -6b__
    -6b_  3b__1_  2b__3b_  4__.  3b__
    6b_  5_.43b2b  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0032;4
A0033;;ALTDEUTSCH;;C-maj;Peter Unverdorben;Romanze, Ballade, Lied;"2__  5__6_.53__4__  2__3_4_5__
    2__  1__5__6_6_4_4_  5_5_4__0__
    3__  4__.5_4__2_3_  3_1_-7_1_3_4_21-7_  1___0__ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0033;8
A0034;;ALTDEUTSCH;;G-maj;Die Frau zur Weissenburg;Romanze, Ballade, Lied;"1_  1__1_  2__2_  3b__1_  -7b__
    -7b_  3b__4_  5__4_  5_.43b_  2__
    2_  5_5_5_  3b__4_  3b_2_1_  -7b__
    -7b_  1_.23b_  4__3b_  2__.  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0034;4
A0035;;ALTDEUTSCH;;G-maj;Die Frau von Luxemburg;Romanze, Ballade, Lied;"1_1_1_  2__2_3b_  1__-7b__  0_
    -7b_3b_.4  5_.45_43b  2_
    5_5_5_  4_5__42  -7b__.
    1_  2_3b_4__  4_3b_2_.1  1___  0_ //";Europa, Mitteleuropa, Deutschland, Niederlande;4/4;;;A0035;8
A0036;;ALTDEUTSCH;;G-maj;Die drei Grafen;Romanze, Ballade, Lied;"1_  1_1_2_3_  4__6_
    5_  4_1_2_3_  4__0_
    4_  6_+1_+2_+2_  +17654_
    5_  6_5_4_3_  2__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0036;4
A0037;;ALTDEUTSCH;;D-min;Vom jungen Grafen;Romanze, Ballade, Lied;"5  1_23b_4  5_54_
    5  6b_543b4  5_.^0
    5  56b7b7b6b5  5_44_
    4  3b45543b  3b_22_
    5  543b21-7  1_.^0 //";Europa, Mitteleuropa, Deutschland;6/4;;;A0037;4
A0039;;ALTDEUTSCH;;F-maj;Treue Liebe;Romanze, Ballade, Lied;"1_1_2_  3__4_  3_2__  1__
    5_  6__5_  5__3_  4__4_  3__
    5_  6__5_  5__3_  4_3_2_  1__
    4_  3__2_  3__4_  5_432_  1__. //";Europa, Mitteleuropa, Deutschland;3/2;;;A0039;4
A0040;;ALTDEUTSCH;;D-maj;Unter der Linde;Romanze, Ballade, Lied;"1_  1__1_  5_5_5_  6_6_6_  5__
    5_  6__5_  +1__5_  7b__6_  5__
    7b_  6_.7b+1_  7b_.65_  4_2_3b_  1__
    5_  5__7b_  5_5_1_  3b_2__  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0040;4
A0041;;ALTDEUTSCH;;D-min;Zwei Gespielinnen;Romanze, Ballade, Lied;"1_1_1_  5__5_7b__5_  3b__0_
    5_5_5_  6b_5_3b__4__  3b__0_
    3b_3b_5_  43b454_3b_2_1_  -7b__0_
    -7b_1_2_  3b_1_5_.43b_21  2_1__ //";Europa, Mitteleuropa, Deutschland;6/2;;;A0041;4
A0042;;ALTDEUTSCH;;F-maj;Der Todwunde;Romanze, Ballade, Lied;1  3_33_3  4_32_2  3_33_3  4_21_ //;Europa, Mitteleuropa, Deutschland;6/2;;;A0042;2
A0043;;ALTDEUTSCH;;E-min;Die stolze (schoene) Muellerin;Romanze, Ballade, Lied;"5_  6b_7b_7b_+1_  7b_6b54_
    5_  6b_7b_5_7b6b  5_.43b_.2b1_
    5_  6b_7b_7b_+1_  7b_6b54_
    5_  6b_7b_5_7b6b  5_.43b_.2b1_
    3b_  6b_5_4_1_  -7b__-6b_
    3b_  4_5_7b_.7b  6b__5_
    3b_  4_3b_2b_1_  1__. //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0043;4
A0044;;ALTDEUTSCH;;C-maj;Die schoene Muellerin;Romanze, Ballade, Lied;"1_  1_3_2_1_  -7_-7_-6_
    -7_  1_-5_-6_-7_  1__0_
    1_  1_3_2_1_  -7_-7_-6_
    -7_  1_-5_-6_-7_  1_.23_
    1_  2_1_-7_-6_  -5__0_
    -7_  1_-7_1_-6_  -5__-3_
    -7_  1_1_2_2_  3__2_
    4_  3_1_2_-7_  1__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0044;4
A0045;;ALTDEUTSCH;;D-maj;Frau Fischerin;Romanze, Ballade, Lied;"+1_+1_+1_  +3b_.+2+1_  +2_+3b__  +4__
    +4_  +3b_+2_+1_  7_+1__  +2__.
    +1_+1_+1_  +3b_.+2+1_  +2_+3b__  +4__
    +4_  +3b_+2_+1_  7_+1__  +2__
    +1_  +1__+1_  6b__6b_  7b__6b_  5__
    5_  6b_6b_7b_  +1_.7b6b_  5_+1__  7b__
    +1_  7b_.6b5_  6b_4__  3b__
    +1_  +1__+1_  6b__6b_  7b__6b_  5__
    5_  6b_6b_7b_  +1_.7b6b_  5_+1__  7b__
    +1_  7b_.6b5_  6b_4__  3b__
    6b_  5_.43b_  4_2__  1__. //";Europa, Mitteleuropa, Deutschland;FREE;;;A0045;2
A0046;;ALTDEUTSCH;;F-maj;Der Bettler;Romanze, Ballade, Lied;"1_  1__3__  5__+1__  7__6__  5__0_
    5_  6567+1_+1_  7__6__  5__.4_  3___  0__
    1__  3__.2_  3_4_5_5_  1__0__
    3__3__  4_2_3_1_  -7_1_2_4_  3__2__  1__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0046;4
A0049;;ALTDEUTSCH;;F-maj;Der Koenigssohn;Romanze, Ballade, Lied;"1_  1_2_3_5_  64342_2_  1___
    0_1_5_5_  6__5_5_  ^_4#_5__
    5__5_5_  3_.54_.3  2__0_
    5_  4_2_3_1_  3_.45_4_  43212__  1__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0049;4
A0051;;ALTDEUTSCH;;D-min;Schoen Elselein oder das Schwabentoechterlein;Romanze, Ballade, Lied;"5_  6b_6b_7b_7b_  +1_+1_5_
    5_  +1_+1_+1_5_  +1__7b_
    5_  6b_6b_5_5_  4_4_1_
    1_  3b_.45_6b_  7b_.6b547b_  ^_6b54__  3b___
    5_.6b7b_7b_  4_3b_1_2_  1__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0051;4
A0052;;ALTDEUTSCH;;G-maj;Schwabentoechterlein;Romanze, Ballade, Lied;"1__1_1_  2__1__  4__3__  4__0_
    4_  4__4__  3_.21__  2__2__  5__0_
    5_  4_.32_1_  2__1__  5_5_5_.4  3__2_2_  1___ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0052;4
A0053A;;ALTDEUTSCH;;F-maj;Gretlein;Romanze, Ballade, Lied;"5_  5__5__4_3_  1__2_1__
    1_  5__5__4_3_  2_.34_3__
    2_  1_1_-7_-5_  -6__-7_1__
    3_  2_2_1_-7_  -6__-5__0_
    5_  5_5_4_3_  2__1__. //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0053;4
A0053B;;ALTDEUTSCH;;G-maj;Gretlein;Romanze, Ballade, Lied;"1_  5__5_4__3_  1__2_1__
    1_  5__5_4__3_  2_.34_3__
    2_  1__1_-7__-5_  -6__-7_1__
    3_  2__2_1_-7_-6_  -5__.
    5__.  5__5_4_3_2_  1__.^_0_ //";Europa, Mitteleuropa, Deutschland;6/4;;;A0053;8
A0054;;ALTDEUTSCH;;F-maj;Die schoene Magdalene;Romanze, Ballade, Lied;"1_  5__5_5__5_  6__.6__
    +1_  7__6_5__4_  3__.^__
    3_  5__4_3__2_  1__.-6__
    11  2__4_3__2_  1__.^__ //";Europa, Mitteleuropa, Deutschland;6/2;;;A0054;4
A0055;;ALTDEUTSCH;;G-maj;Das wackere Maegdlein;Romanze, Ballade, Lied;"1_  1_1_1_  5__4_  5__3b_  2__
    5_  5_5_4_  3b__2_  1__3b_  2__0_
    1_-7_1_  -5__
    2_  3b__3b_  1__1_  3b_.45_  5__
    4_  3b_5_4_  3b_2__  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0055;4
A0056A;;ALTDEUTSCH;;D-maj;Laemmerweide;Romanze, Ballade, Lied;"1_1_1_  5__6_7b_6__  5__0_
    +1_  +1__+1_+1_+1_+1_  7b_5_3b456  7b__0_
    5_  6b_5_4_3_  1__-7b__0_
    7b_  7b_7b_6_7b_  +1__5__0_
    +1_  7b_7b_5_3b__2_  3b_.45_5__43b  2__1_ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0056;4
A0056B;;ALTDEUTSCH;;D-min;Laemmerweide;Romanze, Ballade, Lied;"5__  6b_5_6b_+1_  7b_6b_5__
    0_5_+1_+1_  7b_5_6b_4_  3b__7b__
    0_5_7b_6b_  5_4_3b_1_  -7b__0_
    7b_  5_5_6b_7b_  +1__5__
    0_+1_7b_6b_  5_4_3b12_  1__ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0056;4
A0056C;;ALTDEUTSCH;;D-min;Laemmerweide;Romanze, Ballade, Lied;"5__  6b_5_6b_+1_  7b_6b_5_
    5_  +1_+1_7b_5_  6b_4_3b__  7b__0_
    5_  7b_6b5_4  3b21_  -7b__0_
    7b_  5_5_6b_7b_  +1__5__
    0_+1_7b_6b_  5_4_3b12_  1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0056;2
A0057;;ALTDEUTSCH;;A-min;Die Maid vom Rosenthal;Romanze, Ballade, Lied;"1  1_1  1_2  3b_3b  3b_
    3b  111  3b_3b  1_.  -7b_
    -7b  3b_4  5_5  5_5  5_
    5  5_5  5_5  2_.  4_
    4  3b_1  2_1  1_-7  1_ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0057;2
A0058;;ALTDEUTSCH;;G-maj;Malers Toechterlein;Romanze, Ballade, Lied;"1_  1__2_  3_4__  3_2__  1__
    1_  5_2__  5__4#_  5__.  0__
    5_  4__2_  3__4_  5__.  4__
    32  1__1_  2_.34_  5__.
    5_4_32  1_2345  6_5_.3  4_2__  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0058;4
A0059;;ALTDEUTSCH;;G-maj;Die Waescherin;Romanze, Ballade, Lied;"1__1_1_  5_.45_3b_  2___
    0_4_4_4_  5_.43_2_  1__0_
    3b_  4_2_3b_4_  5_3b_2__  0__.
    3b_  4_.3b2_1_  3b_4_5_3b_  2123b4_
    5_  3b_.2111_  4__2_
    2_  3b_4_567b6  5_4_.3b213b_2_  1___ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0059;4
A0060;;ALTDEUTSCH;;F-maj;Winterrosen;Romanze, Ballade, Lied;"1_  1_1_2_2_  3_3_1_1_  4_.32_3__2_  1-71_2__  0_
    2_4_4_  3__3_2__2_  1_.23_.2  1_-7-6-7_0_  0_
    -5_1_1_  3__2_1_  2__1_^__ //";Europa, Mitteleuropa, Deutschland;6/2 4/2;;;A0060;4
A0063;;ALTDEUTSCH;;G-maj;Am Brunnen;Romanze, Ballade, Lied;"111  5544  5_0
    5  123b4  2_2_  0
    111  5544  5_0
    5  123b4  2_2_  0
    2-7b1  23b42  1
    122  -7b-7b1_  -5_0
    -5  -7b123b  421
    1  3b454  2_43b  1_3b2  -7_1_  0 //";Europa, Mitteleuropa, Deutschland;4/2;;;A0063;2
A0065;;ALTDEUTSCH;;F-maj;Das Maedchen und die Hasel;Romanze, Ballade, Lied;"111  55+1+1  7_0
    5  4321  5+1_7  6_5_  0
    555  3366  5_0
    5  6532  14_3  2_1_  0 //";Europa, Mitteleuropa, Deutschland;4/2;;;A0065;2
A0066A;;ALTDEUTSCH;;F-maj;Der verlorene Rosenkranz;Romanze, Ballade, Lied;"1_  1_.11_  2_.23_  4_.44_  4__
    4_  4_.44_  3__4_  5__.  3__
    5_  +1__+1_  7__6_  5__5_  3__
    3_  5_.43_  5__5_  6__.  3__
    6_  5_1_2_  1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0066;2
A0066B;;ALTDEUTSCH;;F-maj;Der verlorene Rosenkranz;Romanze, Ballade, Lied;"1_  3_3_4_4_  5_5_5_
    5_  4_3_4_5_  4_2_1_
    5_  3_3_2_2_  111_-5_
    3_  3_1_3_.4  5__4_3_  2__1__  0__. //";Europa, Mitteleuropa, Deutschland;4/4;;;A0066;8
A0069A;;ALTDEUTSCH;;G-maj;Ritter und Maid;Romanze, Ballade, Lied;"5_  5_4_5_6b_  7b_.+15_.
    7b  6b_5_4_3b_  4__5_0
    4  4_445_4_  3b_.21_.
    2  3b_4_5_3b_  2__1_ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0069;4
A0069B;;ALTDEUTSCH;;G-min;Ritter und Maid;Romanze, Ballade, Lied;"1_  5_5_5_3b_  7b_7b6b5_
    7b_  +1_5_4_3b_  4__5_
    7b_  4_7b6b5_4_  3b_2_1_
    2_  3b_4_5_3b_  2__1_ //";Europa, Mitteleuropa, Deutschland;4/4;;;A0069;8
A0070;;ALTDEUTSCH;;D-min;Ritter und Maedchen;Romanze, Ballade, Lied;"0_1_1_1_  3b__3b__  4_4_5__
    0_5_5_5_  +1_.7b6b_5_  6b__7b__
    0_7b_7b_7b_  5456b7b_5_  4_4_3b__
    0_7b_+1_+1_  7b_5_5__  4_3b_  2__1__ //";Europa, Mitteleuropa, Deutschland, Niederlande;4/2 2/2;;;A0070;4
A0071;;ALTDEUTSCH;;F-maj;Der Schreiber im Garten;Romanze, Ballade, Lied;"-6_  1_1_2_2_  3_3_3_
    3_  2_3_4_4_  3_3_2_
    2_  3_3_1_1_  -7_-6_-5__
    -7_1_-7_-6_  2_3_4_
    4_  3_21-7_2_  432_1_ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0071;4
A0073;;ALTDEUTSCH;;D-min;Nachtfahrt;Romanze, Ballade, Lied;"1  3b3b44  5_.
    5  5544  3b_0
    3b  3b3b55  224
    4  3b3b22  1_. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0073;2
A0074;;ALTDEUTSCH;;D-min;Nachtfahrt;Romanze, Ballade, Lied;"12  3b_.23b_  4_.3b4_  5__.  ^_0_
    5_  4_.56b_  5_.6b4_  3b__.  ^__
    3b4  5__5_  7b_.6b5_  4__.  2_5_
    4_  3b_.21_  -7_.12_  1__.  ^__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0074;4
A0075;;ALTDEUTSCH;;G-maj;Die plappernden Junggesellen;Romanze, Ballade, Lied;"-5_  1__3__  5__.4_  3__2__  1__0_
    -5_  1__3__  5__.4_  3__2__  1__0_
    3_  3_3_3_3_  3__2_1_  3_5_4_3_  2__0_
    -5_  1_2_3_4_  5_.65_4_  3_3_2_2_  1__0_ //";Europa, Mitteleuropa, Deutschland;4/4;;;A0075;8
