onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chord;chorus_id
17.875;0.25;4;4;9;4;4;0.5;4/4;60;5;0;Fmin7;1
19.125;0.125;4;4;10;3;2;0.5;4/4;58;6;1;Fmin7;1
19.25;0.125;4;4;10;3;3;0.5;4/4;56;6;0;Fmin7;1
19.375;0.125;4;4;10;3;4;0.5;4/4;68;6;0;Fmin7;1
19.5;0.125;4;4;10;4;1;0.5;4/4;70;6;0;Fmin7;1
19.625;0.25;4;4;10;4;2;0.5;4/4;72;6;0;Bb7;1
19.875;0.25;4;4;10;4;4;0.5;4/4;68;6;0;Bb7;1
20.125;0.125;4;4;11;1;2;0.5;4/4;65;6;0;Bb7;1
20.25;0.125;4;4;11;1;3;0.5;4/4;68;6;0;Bb7;1
20.375;0.25;4;4;11;1;4;0.5;4/4;72;6;0;Bb7;1
20.625;0.25;4;4;11;2;2;0.5;4/4;70;6;0;Bb7;1
20.875;0.25;4;4;11;2;4;0.5;4/4;68;6;0;Bb7;1
21.125;0.25;4;4;11;3;2;0.5;4/4;65;6;0;Bb7;1
21.375;0.25;4;4;11;3;4;0.5;4/4;62;6;0;Bb7;1
22.125;0.25;4;4;12;1;2;0.5;4/4;68;7;1;Ebmaj7;1
22.375;0.25;4;4;12;1;4;0.5;4/4;67;7;0;Ebmaj7;1
22.625;0.125;4;4;12;2;2;0.5;4/4;70;7;0;Ebmaj7;1
22.75;0.125;4;4;12;2;3;0.5;4/4;69;7;0;Ebmaj7;1
22.875;0.125;4;4;12;2;4;0.5;4/4;72;7;0;Ebmaj7;1
23;0.125;4;4;12;3;1;0.5;4/4;70;7;0;Ebmaj7;1
23.125;0.125;4;4;12;3;2;0.5;4/4;68;7;0;Ebmaj7;1
23.25;0.125;4;4;12;3;3;0.5;4/4;67;7;0;Ebmaj7;1
23.375;0.125;4;4;12;3;4;0.5;4/4;65;7;0;Ebmaj7;1
23.5;0.125;4;4;12;4;1;0.5;4/4;63;7;0;Ebmaj7;1
23.625;0.125;4;4;12;4;2;0.5;4/4;62;7;0;Ebmaj7;1
23.75;0.25;4;4;12;4;3;0.5;4/4;60;7;0;Abmaj7;1
24;0.25;4;4;13;1;1;0.5;4/4;61;7;0;Abmaj7;1
24.25;0.25;4;4;13;1;3;0.5;4/4;62;7;0;Abmaj7;1
24.5;0.25;4;4;13;2;1;0.5;4/4;63;7;0;Abmaj7;1
24.75;0.25;4;4;13;2;3;0.5;4/4;64;7;0;Abmaj7;1
25;0.25;4;4;13;3;1;0.5;4/4;65;7;0;Abmaj7;1
25.25;0.25;4;4;13;3;3;0.5;4/4;66;7;0;Abmaj7;1
25.5;0.25;4;4;13;4;1;0.5;4/4;67;7;0;Amin7;1
25.75;0.25;4;4;13;4;3;0.5;4/4;65;7;0;Amin7;1
26;0.25;4;4;14;1;1;0.5;4/4;63;7;0;Amin7;1
26.25;0.25;4;4;14;1;3;0.5;4/4;64;7;0;Amin7;1
26.5;0.25;4;4;14;2;1;0.5;4/4;61;7;0;D7;1
26.75;0.25;4;4;14;2;3;0.5;4/4;60;7;0;D7;1
27;0.25;4;4;14;3;1;0.5;4/4;59;7;0;D7;1
27.25;0.25;4;4;14;3;3;0.5;4/4;57;7;0;D7;1
28.375;0.25;4;4;15;1;4;0.5;4/4;59;8;1;Gmaj7;1
28.625;0.125;4;4;15;2;2;0.5;4/4;60;8;0;Gmaj7;1
28.75;0.125;4;4;15;2;3;0.5;4/4;59;8;0;Gmaj7;1
28.875;0.125;4;4;15;2;4;0.5;4/4;60;8;0;Gmaj7;1
29;0.125;4;4;15;3;1;0.5;4/4;62;8;0;Gmaj7;1
29.125;0.125;4;4;15;3;2;0.5;4/4;60;8;0;Gmaj7;1
29.25;0.25;4;4;15;3;3;0.5;4/4;62;8;0;Gmaj7;1
29.5;0.25;4;4;15;4;1;0.5;4/4;64;8;0;Gmaj7;1
29.75;0.125;4;4;15;4;3;0.5;4/4;66;8;0;Gmaj7;1
29.875;0.125;4;4;15;4;4;0.5;4/4;64;8;0;Gmaj7;1
30;0.125;4;4;16;1;1;0.5;4/4;62;8;0;Gmaj7;1
30.125;0.125;4;4;16;1;2;0.5;4/4;60;8;0;Gmaj7;1
30.25;0.125;4;4;16;1;3;0.5;4/4;59;8;0;Gmaj7;1
30.375;0.125;4;4;16;1;4;0.5;4/4;57;8;0;Gmaj7;1
30.5;0.25;4;4;16;2;1;0.5;4/4;55;8;0;Gmaj7;1
30.75;0.25;4;4;16;2;3;0.5;4/4;59;8;0;Gmaj7;1
31;0.25;4;4;16;3;1;0.5;4/4;62;8;0;Gmaj7;1
31.25;0.25;4;4;16;3;3;0.5;4/4;59;8;0;Gmaj7;1
31.5;0.25;4;4;16;4;1;0.5;4/4;55;8;0;Gmaj7;1
31.75;0.25;4;4;16;4;3;0.5;4/4;54;8;0;Amin7;1
32;0.25;4;4;17;1;1;0.5;4/4;57;8;0;Amin7;1
33.5;0.25;4;4;17;4;1;0.5;4/4;79;9;1;Amin7;1
33.75;0.125;4;4;17;4;3;0.5;4/4;79;9;0;D7;1
33.875;0.125;4;4;17;4;4;0.5;4/4;78;9;0;D7;1
34;0.25;4;4;18;1;1;0.5;4/4;76;9;0;D7;1
34.25;0.25;4;4;18;1;3;0.5;4/4;74;9;0;D7;1
34.5;0.25;4;4;18;2;1;0.5;4/4;71;9;0;D7;1
34.75;0.25;4;4;18;2;3;0.5;4/4;72;9;0;D7;1
35;0.25;4;4;18;3;1;0.5;4/4;69;9;0;D7;1
35.25;0.25;4;4;18;3;3;0.5;4/4;66;9;0;D7;1
35.5;0.125;4;4;18;4;1;0.5;4/4;62;9;0;D7;1
35.625;0.125;4;4;18;4;2;0.5;4/4;64;9;0;D7;1
35.75;0.125;4;4;18;4;3;0.5;4/4;66;9;0;Gmaj7;1
35.875;0.125;4;4;18;4;4;0.5;4/4;65;9;0;Gmaj7;1
36;0.125;4;4;19;1;1;0.5;4/4;64;9;0;Gmaj7;1
36.125;0.125;4;4;19;1;2;0.5;4/4;63;9;0;Gmaj7;1
36.25;0.125;4;4;19;1;3;0.5;4/4;62;9;0;Gmaj7;1
36.375;0.125;4;4;19;1;4;0.5;4/4;60;9;0;Gmaj7;1
36.5;0.25;4;4;19;2;1;0.5;4/4;59;9;0;Gmaj7;1
36.75;0.25;4;4;19;2;3;0.5;4/4;57;9;0;Gmaj7;1
37;0.25;4;4;19;3;1;0.5;4/4;58;9;0;Gmaj7;1
37.25;0.25;4;4;19;3;3;0.5;4/4;57;9;0;Gmaj7;1
37.5;0.25;4;4;19;4;1;0.5;4/4;59;9;0;Gmaj7;1
37.75;0.125;4;4;19;4;3;0.5;4/4;60;9;0;Gmaj7;1
37.875;0.125;4;4;19;4;4;0.5;4/4;63;9;0;Gmaj7;1
38.75;0.125;4;4;20;2;3;0.5;4/4;55;10;1;Gmaj7;1
38.875;0.125;4;4;20;2;4;0.5;4/4;59;10;0;Gmaj7;1
39;0.125;4;4;20;3;1;0.5;4/4;62;10;0;Gmaj7;1
39.125;0.25;4;4;20;3;2;0.5;4/4;66;10;0;Gmaj7;1
39.375;0.25;4;4;20;3;4;0.5;4/4;63;10;0;Gmaj7;1
39.625;0.125;4;4;20;4;2;0.5;4/4;64;10;0;Gmaj7;1
39.75;0.125;4;4;20;4;3;0.5;4/4;65;10;0;Gmaj7;1
39.875;0.25;4;4;20;4;4;0.5;4/4;66;10;0;F#m7b5;1
40.125;0.25;4;4;21;1;2;0.5;4/4;64;10;0;F#m7b5;1
40.375;0.25;4;4;21;1;4;0.5;4/4;65;10;0;F#m7b5;1
40.625;0.25;4;4;21;2;2;0.5;4/4;64;10;0;F#m7b5;1
40.875;0.25;4;4;21;2;4;0.5;4/4;60;10;0;F#m7b5;1
41.125;0.25;4;4;21;3;2;0.5;4/4;57;10;0;F#m7b5;1
41.375;0.25;4;4;21;3;4;0.5;4/4;60;10;0;F#m7b5;1
41.625;0.25;4;4;21;4;2;0.5;4/4;64;10;0;F#m7b5;1
41.875;0.25;4;4;21;4;4;0.5;4/4;67;10;0;B79b;1
42.125;0.25;4;4;22;1;2;0.5;4/4;66;10;0;B79b;1
42.375;0.25;4;4;22;1;4;0.5;4/4;64;10;0;B79b;1
42.625;0.25;4;4;22;2;2;0.5;4/4;60;10;0;B79b;1
42.875;0.25;4;4;22;2;4;0.5;4/4;57;10;0;B79b;1
43.125;0.25;4;4;22;3;2;0.5;4/4;56;10;0;B79b;1
43.375;0.25;4;4;22;3;4;0.5;4/4;59;10;0;B79b;1
43.625;0.25;4;4;22;4;2;0.5;4/4;61;10;0;Emaj7;1
43.875;0.25;4;4;22;4;4;0.5;4/4;60;10;0;Emaj7;1
44.125;0.25;4;4;23;1;2;0.5;4/4;59;10;0;Emaj7;1
44.375;0.25;4;4;23;1;4;0.5;4/4;58;10;0;Emaj7;1
44.625;0.125;4;4;23;2;2;0.5;4/4;57;10;0;Emaj7;1
44.75;0.125;4;4;23;2;3;0.5;4/4;59;10;0;Emaj7;1
45.25;0.25;4;4;23;3;3;0.5;4/4;64;11;1;Emaj7;1
45.5;0.375;4;4;23;4;1;0.5;4/4;63;11;0;Emaj7;1
45.875;0.125;4;4;23;4;4;0.5;4/4;61;11;0;C713b;1
46;0.5;4;4;24;1;1;0.5;4/4;60;11;0;C713b;1
46.5;0.25;4;4;24;2;1;0.5;4/4;59;11;0;Fmin7;1
46.75;0.25;4;4;24;2;3;0.5;4/4;58;11;0;Fmin7;1
47;0.25;4;4;24;3;1;0.5;4/4;57;11;0;Fmin7;1
47.25;0.25;4;4;24;3;3;0.5;4/4;56;11;0;Fmin7;1
47.5;0.625;4;4;24;4;1;0.5;4/4;55;11;0;Fmin7;1
48.125;0.125;4;4;25;1;2;0.5;4/4;62;11;0;Fmin7;1
48.25;0.125;4;4;25;1;3;0.5;4/4;60;11;0;Fmin7;1
48.375;0.125;4;4;25;1;4;0.5;4/4;60;11;0;Fmin7;1
48.5;0.125;4;4;25;2;1;0.5;4/4;61;11;0;Fmin7;1
48.625;0.125;4;4;25;2;2;0.5;4/4;60;11;0;Fmin7;1
48.75;0.125;4;4;25;2;3;0.5;4/4;56;11;0;Fmin7;1
48.875;0.5;4;4;25;2;4;0.5;4/4;59;11;0;Fmin7;1
49.375;0.25;4;4;25;3;4;0.5;4/4;60;11;0;Fmin7;1
51.25;0.25;4;4;26;3;3;0.5;4/4;58;12;1;Bbmin7;1
51.5;0.25;4;4;26;4;1;0.5;4/4;61;12;0;Bbmin7;1
51.75;0.25;4;4;26;4;3;0.5;4/4;65;12;0;Eb7;1
52;0.25;4;4;27;1;1;0.5;4/4;66;12;0;Eb7;1
52.25;0.125;4;4;27;1;3;0.5;4/4;67;12;0;Eb7;1
52.375;0.125;4;4;27;1;4;0.5;4/4;64;12;0;Eb7;1
52.5;0.25;4;4;27;2;1;0.5;4/4;65;12;0;Eb7;1
52.75;0.25;4;4;27;2;3;0.5;4/4;64;12;0;Eb7;1
53;0.25;4;4;27;3;1;0.5;4/4;63;12;0;Eb7;1
53.25;0.125;4;4;27;3;3;0.5;4/4;62;12;0;Eb7;1
53.375;0.125;4;4;27;3;4;0.5;4/4;61;12;0;Eb7;1
53.5;0.125;4;4;27;4;1;0.5;4/4;63;12;0;Eb7;1
53.625;0.125;4;4;27;4;2;0.5;4/4;65;12;0;Eb7;1
53.75;0.125;4;4;27;4;3;0.5;4/4;67;12;0;Eb7;1
53.875;0.25;4;4;27;4;4;0.5;4/4;68;12;0;Abmaj7;1
54.125;0.25;4;4;28;1;2;0.5;4/4;67;12;0;Abmaj7;1
54.375;0.25;4;4;28;1;4;0.5;4/4;66;12;0;Abmaj7;1
54.625;0.25;4;4;28;2;2;0.5;4/4;65;12;0;Abmaj7;1
54.875;0.25;4;4;28;2;4;0.5;4/4;63;12;0;Abmaj7;1
55.125;0.25;4;4;28;3;2;0.5;4/4;65;12;0;Abmaj7;1
55.375;0.125;4;4;28;3;4;0.5;4/4;67;12;0;Abmaj7;1
55.5;0.125;4;4;28;4;1;0.5;4/4;65;12;0;Abmaj7;1
55.625;0.125;4;4;28;4;2;0.5;4/4;63;12;0;Abmaj7;1
55.75;0.25;4;4;28;4;3;0.5;4/4;61;12;0;Dbmaj7;1
56;0.25;4;4;29;1;1;0.5;4/4;62;12;0;Dbmaj7;1
56.25;0.25;4;4;29;1;3;0.5;4/4;63;12;0;Dbmaj7;1
56.5;0.25;4;4;29;2;1;0.5;4/4;61;12;0;Dbmaj7;1
56.75;0.25;4;4;29;2;3;0.5;4/4;60;12;0;Dbmaj7;1
57.125;0.25;4;4;29;3;2;0.5;4/4;70;13;1;Dbmaj7;1
57.375;0.25;4;4;29;3;4;0.5;4/4;73;13;0;Dbmaj7;1
57.625;0.25;4;4;29;4;2;0.5;4/4;75;13;0;Dbmaj7;1
57.875;0.25;4;4;29;4;4;0.5;4/4;78;13;0;Dbmaj7;1
58.125;0.25;4;4;30;1;2;0.5;4/4;75;13;0;Dbminmaj7;1
58.375;0.25;4;4;30;1;4;0.5;4/4;73;13;0;Dbminmaj7;1
58.625;0.25;4;4;30;2;2;0.5;4/4;72;13;0;Dbminmaj7;1
58.875;0.25;4;4;30;2;4;0.5;4/4;69;13;0;Dbminmaj7;1
59.125;0.25;4;4;30;3;2;0.5;4/4;68;13;0;Dbminmaj7;1
59.375;0.25;4;4;30;3;4;0.5;4/4;69;13;0;Dbminmaj7;1
59.625;0.125;4;4;30;4;2;0.5;4/4;72;13;0;Cmin7;1
59.75;0.125;4;4;30;4;3;0.5;4/4;73;13;0;Cmin7;1
59.875;0.125;4;4;30;4;4;0.5;4/4;75;13;0;Cmin7;1
60;0.125;4;4;31;1;1;0.5;4/4;76;13;0;Cmin7;1
60.125;0.125;4;4;31;1;2;0.5;4/4;75;13;0;Cmin7;1
60.25;0.125;4;4;31;1;3;0.5;4/4;72;13;0;Cmin7;1
60.375;0.125;4;4;31;1;4;0.5;4/4;70;13;0;Cmin7;1
60.5;0.125;4;4;31;2;1;0.5;4/4;67;13;0;Cmin7;1
60.625;0.125;4;4;31;2;2;0.5;4/4;69;13;0;Cmin7;1
60.75;0.25;4;4;31;2;3;0.5;4/4;67;13;0;Cmin7;1
61;0.25;4;4;31;3;1;0.5;4/4;65;13;0;Cmin7;1
61.25;0.25;4;4;31;3;3;0.5;4/4;69;13;0;Cmin7;1
61.5;0.25;4;4;31;4;1;0.5;4/4;68;13;0;Cmin7;1
61.75;0.125;4;4;31;4;3;0.5;4/4;69;13;0;Bo7;1
61.875;0.125;4;4;31;4;4;0.5;4/4;68;13;0;Bo7;1
62;0.125;4;4;32;1;1;0.5;4/4;67;13;0;Bo7;1
62.125;0.25;4;4;32;1;2;0.5;4/4;66;13;0;Bo7;1
62.375;0.25;4;4;32;1;4;0.5;4/4;65;13;0;Bo7;1
62.625;0.25;4;4;32;2;2;0.5;4/4;64;13;0;Bo7;1
62.875;0.25;4;4;32;2;4;0.5;4/4;63;13;0;Bo7;1
63.125;0.25;4;4;32;3;2;0.5;4/4;62;13;0;Bo7;1
63.375;0.25;4;4;32;3;4;0.5;4/4;61;13;0;Bo7;1
64.5;0.125;4;4;33;2;1;0.5;4/4;73;14;1;Bbmin7;1
64.625;0.125;4;4;33;2;2;0.5;4/4;80;14;0;Bbmin7;1
64.75;0.25;4;4;33;2;3;0.5;4/4;79;14;0;Bbmin7;1
65;0.25;4;4;33;3;1;0.5;4/4;77;14;0;Bbmin7;1
65.25;0.125;4;4;33;3;3;0.5;4/4;75;14;0;Bbmin7;1
65.375;0.125;4;4;33;3;4;0.5;4/4;73;14;0;Bbmin7;1
65.5;0.25;4;4;33;4;1;0.5;4/4;72;14;0;Eb7;1
65.75;0.25;4;4;33;4;3;0.5;4/4;70;14;0;Eb7;1
66;0.25;4;4;34;1;1;0.5;4/4;68;14;0;Eb7;1
66.25;0.25;4;4;34;1;3;0.5;4/4;67;14;0;Eb7;1
66.5;0.25;4;4;34;2;1;0.5;4/4;66;14;0;Eb7;1
66.75;0.125;4;4;34;2;3;0.5;4/4;65;14;0;Eb7;1
66.875;0.125;4;4;34;2;4;0.5;4/4;63;14;0;Eb7;1
67;0.25;4;4;34;3;1;0.5;4/4;61;14;0;Eb7;1
67.25;0.25;4;4;34;3;3;0.5;4/4;62;14;0;Eb7;1
67.5;0.125;4;4;34;4;1;0.5;4/4;61;14;0;Eb7;1
67.625;0.125;4;4;34;4;2;0.5;4/4;65;14;0;Eb7;1
67.75;0.125;4;4;34;4;3;0.5;4/4;68;14;0;Eb7;1
67.875;0.125;4;4;34;4;4;0.5;4/4;67;14;0;Abmaj7;1
68;0.125;4;4;35;1;1;0.5;4/4;66;14;0;Abmaj7;1
68.875;0.125;4;4;35;2;4;0.5;4/4;61;15;1;Abmaj7;1
69;0.125;4;4;35;3;1;0.5;4/4;56;15;0;Abmaj7;1
69.125;0.125;4;4;35;3;2;0.5;4/4;55;15;0;Abmaj7;1
69.25;0.125;4;4;35;3;3;0.5;4/4;56;15;0;Abmaj7;1
69.375;0.25;4;4;35;3;4;0.5;4/4;64;15;0;Abmaj7;1
69.625;0.25;4;4;35;4;2;0.5;4/4;61;15;0;Abmaj7;1
69.875;0.125;4;4;35;4;4;0.5;4/4;63;15;0;Gm7b5;1
70;0.125;4;4;36;1;1;0.5;4/4;61;15;0;Gm7b5;1
70.125;0.125;4;4;36;1;2;0.5;4/4;60;15;0;Gm7b5;1
70.25;0.25;4;4;36;1;3;0.5;4/4;58;15;0;C79b;1
70.5;0.25;4;4;36;2;1;0.5;4/4;60;15;0;C79b;1
70.75;0.25;4;4;36;2;3;0.5;4/4;62;15;0;C79b;1
71;0.125;4;4;36;3;1;0.5;4/4;63;15;0;C79b;1
71.125;0.125;4;4;36;3;2;0.5;4/4;64;15;0;C79b;1
71.25;0.125;4;4;36;3;3;0.5;4/4;63;15;0;C79b;1
71.375;0.125;4;4;36;3;4;0.5;4/4;61;15;0;C79b;1
73.375;0.125;4;4;37;3;4;0.5;4/4;56;16;1;Fmin7;2
73.5;0.25;4;4;37;4;1;0.5;4/4;56;16;0;Fmin7;2
73.75;0.25;4;4;37;4;3;0.5;4/4;56;16;0;Bbmin7;2
74;0.25;4;4;38;1;1;0.5;4/4;54;16;0;Bbmin7;2
74.25;0.25;4;4;38;1;3;0.5;4/4;65;16;0;Bbmin7;2
74.5;0.25;4;4;38;2;1;0.5;4/4;61;16;0;Bbmin7;2
74.75;0.25;4;4;38;2;3;0.5;4/4;62;16;0;Bbmin7;2
75;0.25;4;4;38;3;1;0.5;4/4;59;16;0;Bbmin7;2
75.25;0.25;4;4;38;3;3;0.5;4/4;60;16;0;Bbmin7;2
75.5;0.375;4;4;38;4;1;0.5;4/4;63;16;0;Bbmin7;2
75.875;0.125;4;4;38;4;4;0.5;4/4;65;16;0;Eb7;2
76;0.125;4;4;39;1;1;0.5;4/4;67;16;0;Eb7;2
76.125;0.125;4;4;39;1;2;0.5;4/4;68;16;0;Eb7;2
76.25;0.125;4;4;39;1;3;0.5;4/4;67;16;0;Eb7;2
76.375;0.125;4;4;39;1;4;0.5;4/4;66;16;0;Eb7;2
78.125;0.125;4;4;40;1;2;0.5;4/4;60;17;1;Abmaj7;2
78.25;0.125;4;4;40;1;3;0.5;4/4;61;17;0;Abmaj7;2
78.375;0.125;4;4;40;1;4;0.5;4/4;63;17;0;Abmaj7;2
78.5;0.125;4;4;40;2;1;0.5;4/4;60;17;0;Abmaj7;2
78.625;0.125;4;4;40;2;2;0.5;4/4;62;17;0;Abmaj7;2
78.75;0.125;4;4;40;2;3;0.5;4/4;63;17;0;Abmaj7;2
78.875;0.25;4;4;40;2;4;0.5;4/4;64;17;0;Abmaj7;2
79.125;0.25;4;4;40;3;2;0.5;4/4;65;17;0;Abmaj7;2
79.375;0.125;4;4;40;3;4;0.5;4/4;66;17;0;Abmaj7;2
79.5;0.125;4;4;40;4;1;0.5;4/4;65;17;0;Abmaj7;2
79.625;0.125;4;4;40;4;2;0.5;4/4;63;17;0;Abmaj7;2
79.75;0.25;4;4;40;4;3;0.5;4/4;61;17;0;Dbmaj7;2
80;0.25;4;4;41;1;1;0.5;4/4;63;17;0;Dbmaj7;2
80.25;0.25;4;4;41;1;3;0.5;4/4;61;17;0;Dbmaj7;2
80.5;0.25;4;4;41;2;1;0.5;4/4;60;17;0;Dbmaj7;2
80.75;0.25;4;4;41;2;3;0.5;4/4;59;17;0;Dbmaj7;2
81;0.125;4;4;41;3;1;0.5;4/4;65;17;0;Dbmaj7;2
81.125;0.125;4;4;41;3;2;0.5;4/4;62;17;0;Dbmaj7;2
81.25;0.25;4;4;41;3;3;0.5;4/4;63;17;0;Dbmaj7;2
81.5;0.25;4;4;41;4;1;0.5;4/4;62;17;0;Dbmaj7;2
81.75;0.125;4;4;41;4;3;0.5;4/4;61;17;0;Dmin7;2
81.875;0.125;4;4;41;4;4;0.5;4/4;58;17;0;Dmin7;2
82.75;0.25;4;4;42;2;3;0.5;4/4;69;18;1;Dmin7;2
83;0.375;4;4;42;3;1;0.5;4/4;71;18;0;Dmin7;2
83.375;0.125;4;4;42;3;4;0.5;4/4;72;18;0;G7;2
83.5;0.125;4;4;42;4;1;0.5;4/4;70;18;0;G7;2
83.625;0.125;4;4;42;4;2;0.5;4/4;71;18;0;Cmaj7;2
83.75;0.125;4;4;42;4;3;0.5;4/4;74;18;0;Cmaj7;2
83.875;0.25;4;4;42;4;4;0.5;4/4;70;18;0;Cmaj7;2
84.125;0.125;4;4;43;1;2;0.5;4/4;74;18;0;Cmaj7;2
84.25;0.125;4;4;43;1;3;0.5;4/4;76;18;0;Cmaj7;2
84.375;0.125;4;4;43;1;4;0.5;4/4;74;18;0;Cmaj7;2
84.5;0.375;4;4;43;2;1;0.5;4/4;76;18;0;Cmaj7;2
84.875;0.125;4;4;43;2;4;0.5;4/4;69;18;0;Cmaj7;2
85;0.125;4;4;43;3;1;0.5;4/4;72;18;0;Cmaj7;2
85.125;0.125;4;4;43;3;2;0.5;4/4;69;18;0;Cmaj7;2
85.25;0.125;4;4;43;3;3;0.5;4/4;74;18;0;Cmaj7;2
86;0.25;4;4;44;1;1;0.5;4/4;71;19;1;Cmaj7;2
